dialogue,emotion,hidden_meaning,threat_level,clean_dialogue
Khaana kha liya?,care,bas pet khali mat rakho,low,khaana kha liya
Paani piya?,care,hydrate rehna,low,paani piya
Jacket le lena,care,bahar thand hai,low,jacket le lena
Seedha ghar aa jana,care,safe rehna,low,seedha ghar aa jana
Dawai le li?,care,health ignore mat karo,low,dawai le li
Phone hi chala lo pura din,sarcasm,tum phone addict ho,low,phone hi chala lo pura din
"Wah beta, bahut mehnat ho rahi hai",sarcasm,tum kuch nahi kar rahe,low,wah beta bahut mehnat ho rahi hai
Tumhara room museum lag raha hai,sarcasm,room saaf karo,low,tumhara room museum lag raha hai
Bas reels dekh lo,sarcasm,padhai bhi kar lo,low,bas reels dekh lo
Alarm bhi tumse haar gaya,sarcasm,jaldi uth jao,low,alarm bhi tumse haar gaya
Abhi homework karo,warning,baad mein problem hogi,medium,abhi homework karo
Late aaye toh dekh lena,warning,discipline follow karo,high,late aaye toh dekh lena
Phone table pe rakho,warning,zyada use mat karo,medium,phone table pe rakho
Jhooth bola toh bura hoga,warning,sach bolo,high,jhooth bola toh bura hoga
Room saaf karo abhi,warning,mess band karo,medium,room saaf karo abhi
Theek hai main hi sab kar leti hoon,passive_aggressive,tum help nahi karte,low,theek hai main hi sab kar leti hoon
Haan haan tum toh bahut busy ho,passive_aggressive,mere liye time nahi hai,low,haan haan tum toh bahut busy ho
Main chup hi rehti hoon,passive_aggressive,tum sunte nahi,medium,main chup hi rehti hoon
Koi baat nahi mujhe aadat hai,passive_aggressive,main ignored feel karti hoon,low,koi baat nahi mujhe aadat hai
Tumhari marzi,passive_aggressive,main upset hoon,medium,tumhari marzi
Maine tumhare liye itna kiya,emotional_blackmail,thoda appreciate karo,medium,maine tumhare liye itna kiya
Mere baad kaun sambhalega,emotional_blackmail,meri value samjho,high,mere baad kaun sambhalega
Mujhe koi yaad hi nahi karta,emotional_blackmail,attention do,medium,mujhe koi yaad hi nahi karta
Bas ek call kar dete,emotional_blackmail,main wait kar rahi thi,medium,bas ek call kar dete
Agar mujhe kuch ho gaya toh,emotional_blackmail,meri baat suno,rip,agar mujhe kuch ho gaya toh
Mera dimag mat kharab karo,anger,abhi chup ho jao,high,mera dimag mat kharab karo
Ek baar aur bola na,anger,bahut gussa aa jayega,rip,ek baar aur bola na
Kitni baar samjhau,anger,baat suno,high,kitni baar samjhau
Abhi room saaf karo,anger,bahas band,high,abhi room saaf karo
Mere patience ka test mat lo,anger,limit cross mat karo,high,mere patience ka test mat lo
Teri favorite sabzi banayi hai,love,tumhari khushi important hai,low,teri favorite sabzi banayi hai
Message kar dena pahunch ke,love,main care karti hoon,low,message kar dena pahunch ke
Mera baccha thak gaya hoga,love,thoda rest kar lo,low,mera baccha thak gaya hoga
Blanket rakh diya hai,love,thand lag jayegi,low,blanket rakh diya hai
Main gussa ho jaun phir bhi pyaar kam nahi hota,love,tum important ho,low,main gussa ho jaun phir bhi pyaar kam nahi hota
Mujhe tumse ye umeed nahi thi,disappointment,tumne disappoint kiya,medium,mujhe tumse ye umeed nahi thi
Marks aur better aa sakte the,disappointment,aur effort karo,medium,marks aur better aa sakte the
Bas itna hi serious ho?,disappointment,focus badhao,low,bas itna hi serious ho
Maine socha tha tum samajhdar ho,disappointment,better decision lo,medium,maine socha tha tum samajhdar ho
Dil tod diya tumne,disappointment,main hurt hoon,high,dil tod diya tumne
Mujhe WiFi ka update nahi chahiye,anger,WiFi ki wajah se gussa hai,high,mujhe wifi ka update nahi chahiye
charger ko thoda control karo na,sarcasm,tum charger zyada use kar rahe ho,low,charger ko thoda control karo na
Pura din room hi chalega kya yaar,passive_aggressive,main upset hoon,medium,pura din room hi chalega kya yaar
Pura din reels hi chalega kya na,sarcasm,tum reels zyada use kar rahe ho,low,pura din reels hi chalega kya na
Pura din room hi chalega kya beta,love,main tumhari care karti hoon,low,pura din room hi chalega kya beta
kitchen ko thoda control karo beta,care,kitchen ke saath balance rakho,low,kitchen ko thoda control karo beta
shopping pe hi future depend karega kya please,care,shopping ke saath balance rakho,low,shopping pe hi future depend karega kya please
Pura din WiFi hi chalega kya na,love,main tumhari care karti hoon,low,pura din wifi hi chalega kya na
shopping pe hi future depend karega kya na,emotional_blackmail,mujhe ignore mat karo,medium,shopping pe hi future depend karega kya na
Pura din charger hi chalega kya na,passive_aggressive,main upset hoon,low,pura din charger hi chalega kya na
TV ko side mein rakho thodi der abhi,care,TV ke saath balance rakho,low,tv ko side mein rakho thodi der abhi
friends ko side mein rakho thodi der na,love,main tumhari care karti hoon,low,friends ko side mein rakho thodi der na
Aaj bhi charger ka hi scene hai seriously,disappointment,better karo,low,aaj bhi charger ka hi scene hai seriously
Mujhe khaana ka update nahi chahiye beta,sarcasm,tum khaana zyada use kar rahe ho,low,mujhe khaana ka update nahi chahiye beta
WiFi ko side mein rakho thodi der,anger,WiFi ki wajah se gussa hai,rip,wifi ko side mein rakho thodi der
shopping se bahar bhi duniya hai please,sarcasm,tum shopping zyada use kar rahe ho,low,shopping se bahar bhi duniya hai please
gaming ko side mein rakho thodi der seriously,anger,gaming ki wajah se gussa hai,high,gaming ko side mein rakho thodi der seriously
sleep ko side mein rakho thodi der abhi,sarcasm,tum sleep zyada use kar rahe ho,low,sleep ko side mein rakho thodi der abhi
Aaj bhi room ka hi scene hai abhi,sarcasm,tum room zyada use kar rahe ho,low,aaj bhi room ka hi scene hai abhi
Mujhe college ka update nahi chahiye,disappointment,better karo,medium,mujhe college ka update nahi chahiye
charger pe hi future depend karega kya yaar,disappointment,better karo,low,charger pe hi future depend karega kya yaar
Aaj bhi TV ka hi scene hai beta,care,TV ke saath balance rakho,low,aaj bhi tv ka hi scene hai beta
Mujhe kitchen ka update nahi chahiye,passive_aggressive,main upset hoon,medium,mujhe kitchen ka update nahi chahiye
Mujhe attendance ka update nahi chahiye beta,warning,attendance control karo,high,mujhe attendance ka update nahi chahiye beta
Aaj bhi shopping ka hi scene hai abhi,love,main tumhari care karti hoon,low,aaj bhi shopping ka hi scene hai abhi
Mujhe charger ka update nahi chahiye beta,love,main tumhari care karti hoon,low,mujhe charger ka update nahi chahiye beta
padhai pe hi future depend karega kya beta,warning,padhai control karo,medium,padhai pe hi future depend karega kya beta
phone ko side mein rakho thodi der please,passive_aggressive,main upset hoon,low,phone ko side mein rakho thodi der please
phone pe hi future depend karega kya na,emotional_blackmail,mujhe ignore mat karo,high,phone pe hi future depend karega kya na
friends pe hi future depend karega kya yaar,anger,friends ki wajah se gussa hai,high,friends pe hi future depend karega kya yaar
Mujhe kitchen ka update nahi chahiye yaar,love,main tumhari care karti hoon,low,mujhe kitchen ka update nahi chahiye yaar
Mujhe gaming ka update nahi chahiye,sarcasm,tum gaming zyada use kar rahe ho,low,mujhe gaming ka update nahi chahiye
Bas padhai mein hi busy rehna beta,passive_aggressive,main upset hoon,medium,bas padhai mein hi busy rehna beta
friends ko thoda control karo,sarcasm,tum friends zyada use kar rahe ho,low,friends ko thoda control karo
Pura din WiFi hi chalega kya please,care,WiFi ke saath balance rakho,low,pura din wifi hi chalega kya please
Bas padhai mein hi busy rehna na,care,padhai ke saath balance rakho,low,bas padhai mein hi busy rehna na
Aaj bhi WiFi ka hi scene hai please,love,main tumhari care karti hoon,low,aaj bhi wifi ka hi scene hai please
Pura din gaming hi chalega kya seriously,anger,gaming ki wajah se gussa hai,high,pura din gaming hi chalega kya seriously
attendance ko side mein rakho thodi der please,disappointment,better karo,medium,attendance ko side mein rakho thodi der please
Pura din WiFi hi chalega kya abhi,sarcasm,tum WiFi zyada use kar rahe ho,low,pura din wifi hi chalega kya abhi
sleep ko side mein rakho thodi der na,anger,sleep ki wajah se gussa hai,high,sleep ko side mein rakho thodi der na
TV se bahar bhi duniya hai beta,care,TV ke saath balance rakho,low,tv se bahar bhi duniya hai beta
Aaj bhi bike ka hi scene hai abhi,care,bike ke saath balance rakho,low,aaj bhi bike ka hi scene hai abhi
sleep se bahar bhi duniya hai beta,sarcasm,tum sleep zyada use kar rahe ho,low,sleep se bahar bhi duniya hai beta
reels se bahar bhi duniya hai na,anger,reels ki wajah se gussa hai,high,reels se bahar bhi duniya hai na
Mujhe reels ka update nahi chahiye beta,passive_aggressive,main upset hoon,low,mujhe reels ka update nahi chahiye beta
charger ko thoda control karo seriously,disappointment,better karo,low,charger ko thoda control karo seriously
Aaj bhi gaming ka hi scene hai abhi,emotional_blackmail,mujhe ignore mat karo,medium,aaj bhi gaming ka hi scene hai abhi
attendance se bahar bhi duniya hai,anger,attendance ki wajah se gussa hai,rip,attendance se bahar bhi duniya hai
Bas khaana mein hi busy rehna beta,passive_aggressive,main upset hoon,medium,bas khaana mein hi busy rehna beta
TV ko side mein rakho thodi der yaar,anger,TV ki wajah se gussa hai,high,tv ko side mein rakho thodi der yaar
Pura din padhai hi chalega kya seriously,anger,padhai ki wajah se gussa hai,rip,pura din padhai hi chalega kya seriously
gaming pe hi future depend karega kya seriously,passive_aggressive,main upset hoon,medium,gaming pe hi future depend karega kya seriously
Mujhe padhai ka update nahi chahiye yaar,anger,padhai ki wajah se gussa hai,rip,mujhe padhai ka update nahi chahiye yaar
laptop pe hi future depend karega kya beta,sarcasm,tum laptop zyada use kar rahe ho,low,laptop pe hi future depend karega kya beta
WiFi ko side mein rakho thodi der seriously,care,WiFi ke saath balance rakho,low,wifi ko side mein rakho thodi der seriously
gaming se bahar bhi duniya hai na,warning,gaming control karo,medium,gaming se bahar bhi duniya hai na
phone ko thoda control karo na,warning,phone control karo,medium,phone ko thoda control karo na
Bas tiffin mein hi busy rehna,warning,tiffin control karo,medium,bas tiffin mein hi busy rehna
Aaj bhi TV ka hi scene hai seriously,emotional_blackmail,mujhe ignore mat karo,medium,aaj bhi tv ka hi scene hai seriously
Mujhe sleep ka update nahi chahiye,anger,sleep ki wajah se gussa hai,high,mujhe sleep ka update nahi chahiye
Mujhe attendance ka update nahi chahiye na,anger,attendance ki wajah se gussa hai,high,mujhe attendance ka update nahi chahiye na
bike ko thoda control karo seriously,warning,bike control karo,high,bike ko thoda control karo seriously
